"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"5116",638836,M,-4,Central Nervous System,SNB75,4.083
"5117",638836,,,,SR,
"5118",638836,M,-4,Colon,SW620,4
"5119",638836,,,,T47D,
"5120",638836,M,-4,Renal,TK10,4.521
"5121",638836,,,,U251,
"5122",638836,M,-4,Melanoma,UACC257,4
"5123",638836,M,-4,Melanoma,UACC62,4
"5124",639087,M,-4,Renal,7860,4
"5125",639087,M,-4,Renal,A498,4
"5126",639087,,,,A549,
"5127",639087,M,-4,Renal,ACHN,4
"5128",639087,,,,BT549,
"5129",639087,M,-4,Renal,CAKI1,4
"5130",639087,M,-4,Leukemia,CCRFCEM,4
"5131",639087,M,-4,Colon,COLO205,4
"5132",639087,,,,DU145,
"5133",639087,,,,EKVX,
"5134",639087,,,,HCC2998,
"5135",639087,M,-4,Colon,HCT116,4
"5136",639087,,,,HCT15,
"5137",639087,,,,HL60,
"5138",639087,M,-4,Non-Small Cell Lung,HOP62,4
"5139",639087,M,-4,Non-Small Cell Lung,HOP92,4
"5140",639087,,,,HS578T,
"5141",639087,M,-4,Colon,HT29,4
"5142",639087,M,-4,Ovarian,IGROV1,4
"5143",639087,M,-4,Leukemia,K562,4
"5144",639087,M,-4,Colon,KM12,4
"5145",639087,M,-4,Melanoma,LOXIMVI,4
"5146",639087,M,-4,Melanoma,M14,4
"5147",639087,M,-4,Melanoma,MALME3M,4
"5148",639087,,,,MCF7,
"5149",639087,,,,MDAMB231,
"5150",639087,,,,MDAMB435,
"5151",639087,,,,MDAMB468,
"5152",639087,M,-4,Leukemia,MOLT4,4
"5153",639087,,,,NCIADRRES,
"5154",639087,,,,NCIH226,
"5155",639087,M,-4,Non-Small Cell Lung,NCIH23,4
"5156",639087,M,-4,Non-Small Cell Lung,NCIH322M,4
"5157",639087,M,-4,Non-Small Cell Lung,NCIH460,4
"5158",639087,M,-4,Non-Small Cell Lung,NCIH522,4
"5159",639087,M,-4,Ovarian,OVCAR3,4
"5160",639087,M,-4,Ovarian,OVCAR4,4
"5161",639087,,,,OVCAR5,
"5162",639087,M,-4,Ovarian,OVCAR8,4
"5163",639087,,,,PC3,
"5164",639087,M,-4,Leukemia,RPMI8226,4
"5165",639087,,,,RXF393,
"5166",639087,M,-4,Central Nervous System,SF268,4
"5167",639087,M,-4,Central Nervous System,SF295,4
"5168",639087,M,-4,Central Nervous System,SF539,4
"5169",639087,,,,SKMEL2,
"5170",639087,M,-4,Melanoma,SKMEL28,4
"5171",639087,M,-4,Melanoma,SKMEL5,4
"5172",639087,M,-4,Ovarian,SKOV3,4
"5173",639087,M,-4,Renal,SN12C,4
"5174",639087,M,-4,Central Nervous System,SNB19,4
"5175",639087,M,-4,Central Nervous System,SNB75,4.433
"5176",639087,M,-4,Leukemia,SR,4
"5177",639087,M,-4,Colon,SW620,4
"5178",639087,,,,T47D,
"5179",639087,M,-4,Renal,TK10,4
"5180",639087,M,-4,Central Nervous System,U251,4
"5181",639087,M,-4,Melanoma,UACC257,4
"5182",639087,M,-4,Melanoma,UACC62,4
"5183",648778,M,-4,Renal,7860,7.15
"5184",648778,M,-4,Renal,A498,7.329
"5185",648778,,,,A549,
"5186",648778,M,-4,Renal,ACHN,7.019
"5187",648778,,,,BT549,
"5188",648778,M,-4,Renal,CAKI1,6.683
"5189",648778,M,-4,Leukemia,CCRFCEM,7.101
"5190",648778,M,-4,Colon,COLO205,7.079
"5191",648778,,,,DU145,
"5192",648778,M,-4,Non-Small Cell Lung,EKVX,5.137
