"",DRUG_ID,COSMIC_ID,LN_IC50,MAX_CONC_MICROMOLAR,Cell_Line,Drug_Name,Synonyms
"221",,,,,NCIH1666,TANESPIMYCIN,
"222",1026,687802,2.89348204,1,NCIH1693,TANESPIMYCIN,"17-AAG, BMS-722782"
"223",1026,688006,2.11294095,1,NCIH1694,TANESPIMYCIN,"17-AAG, BMS-722782"
"224",1026,908474,-3.74284848,1,NCIH1703,TANESPIMYCIN,"17-AAG, BMS-722782"
"225",1026,724868,-2.46078744,1,NCIH1792,TANESPIMYCIN,"17-AAG, BMS-722782"
"226",,,,,NCIH1793,TANESPIMYCIN,
"227",1026,1240183,-1.8804015,1,NCIH1869,TANESPIMYCIN,"17-AAG, BMS-722782"
"228",,,,,NCIH1915,TANESPIMYCIN,
"229",1026,1240185,-2.6935073,1,NCIH1944,TANESPIMYCIN,"17-AAG, BMS-722782"
"230",1026,924244,-3.16651056,1,NCIH1975,TANESPIMYCIN,"17-AAG, BMS-722782"
"231",1026,724873,-1.68637297,1,NCIH2009,TANESPIMYCIN,"17-AAG, BMS-722782"
"232",1026,1240187,-1.89825104,1,NCIH2023,TANESPIMYCIN,"17-AAG, BMS-722782"
"233",1026,722045,-2.92541511,1,NCIH2030,TANESPIMYCIN,"17-AAG, BMS-722782"
"234",1026,688058,0.05318966,1,NCIH2052,TANESPIMYCIN,"17-AAG, BMS-722782"
"235",1026,687812,1.69350251,1,NCIH2085,TANESPIMYCIN,"17-AAG, BMS-722782"
"236",1026,724834,-1.99225904,1,NCIH2087,TANESPIMYCIN,"17-AAG, BMS-722782"
"237",1026,1240189,-0.06887713,1,NCIH211,TANESPIMYCIN,"17-AAG, BMS-722782"
"238",,,,,NCIH2122,TANESPIMYCIN,
"239",,,,,NCIH2170,TANESPIMYCIN,
"240",1026,1298353,-0.98563813,1,NCIH2172,TANESPIMYCIN,"17-AAG, BMS-722782"
"241",,,,,NCIH2228,TANESPIMYCIN,
"242",1026,905941,0.28436975,1,NCIH226,TANESPIMYCIN,"17-AAG, BMS-722782"
"243",1026,905942,-3.28022501,1,NCIH23,TANESPIMYCIN,"17-AAG, BMS-722782"
"244",1026,1298356,0.43226926,1,NCIH2444,TANESPIMYCIN,"17-AAG, BMS-722782"
"245",1026,908462,-1.85317178,1,NCIH2452,TANESPIMYCIN,"17-AAG, BMS-722782"
"246",1026,908470,-2.18439471,1,NCIH28,TANESPIMYCIN,"17-AAG, BMS-722782"
"247",1026,908465,-1.02465517,1,NCIH358,TANESPIMYCIN,"17-AAG, BMS-722782"
"248",,,,,NCIH441,TANESPIMYCIN,
"249",1026,905943,-3.83803952,1,NCIH460,TANESPIMYCIN,"17-AAG, BMS-722782"
"250",1026,908443,-1.21287889,1,NCIH520,TANESPIMYCIN,"17-AAG, BMS-722782"
"251",1026,905944,-0.5526668,1,NCIH522,TANESPIMYCIN,"17-AAG, BMS-722782"
"252",1026,1240191,-3.79284378,1,NCIH647,TANESPIMYCIN,"17-AAG, BMS-722782"
"253",1026,722066,-1.72832337,1,NCIH650,TANESPIMYCIN,"17-AAG, BMS-722782"
"254",1026,687829,-1.19237679,1,NCIH661,TANESPIMYCIN,"17-AAG, BMS-722782"
"255",1026,724855,-0.58897223,1,NCIH727,TANESPIMYCIN,"17-AAG, BMS-722782"
"256",1026,908457,-1.18322502,1,NCIH747,TANESPIMYCIN,"17-AAG, BMS-722782"
"257",1026,925341,0.69924809,1,NCIH810,TANESPIMYCIN,"17-AAG, BMS-722782"
"258",1026,908461,-3.33502039,1,NCIN87,TANESPIMYCIN,"17-AAG, BMS-722782"
"259",1026,908455,-2.29939774,1,NUGC3,TANESPIMYCIN,"17-AAG, BMS-722782"
"260",1026,1298357,-1.29296428,1,NUGC4,TANESPIMYCIN,"17-AAG, BMS-722782"
"261",1026,909257,-1.72230159,1,OC314,TANESPIMYCIN,"17-AAG, BMS-722782"
"262",1026,910947,-1.468039,1,OCIAML2,TANESPIMYCIN,"17-AAG, BMS-722782"
"263",1026,1330983,0.43722497,1,OCIAML5,TANESPIMYCIN,"17-AAG, BMS-722782"
"264",1026,1298358,-2.42371401,1,OCUM1,TANESPIMYCIN,"17-AAG, BMS-722782"
"265",1026,1298359,-2.54013412,1,OE21,TANESPIMYCIN,"17-AAG, BMS-722782"
"266",1026,910549,-0.53007733,1,OE33,TANESPIMYCIN,"17-AAG, BMS-722782"
"267",1026,909248,1.03253223,1,ONS76,TANESPIMYCIN,"17-AAG, BMS-722782"
"268",1026,909249,1.84600793,1,OPM2,TANESPIMYCIN,"17-AAG, BMS-722782"
"269",1026,1240197,-3.65196456,1,OV90,TANESPIMYCIN,"17-AAG, BMS-722782"
"270",1026,905990,1.10198372,1,OVCAR4,TANESPIMYCIN,"17-AAG, BMS-722782"
"271",1026,905991,-2.25101115,1,OVCAR8,TANESPIMYCIN,"17-AAG, BMS-722782"
"272",1026,1298365,-1.76004502,1,OVTOKO,TANESPIMYCIN,"17-AAG, BMS-722782"
"273",1026,909251,1.69291186,1,P12ICHIKAWA,TANESPIMYCIN,"17-AAG, BMS-722782"
"274",1026,909253,1.68671041,1,P31FUJ,TANESPIMYCIN,"17-AAG, BMS-722782"
"275",1026,1298475,-2.88206536,1,PANC0203,TANESPIMYCIN,"17-AAG, BMS-722782"
"276",1026,925346,-2.16272937,1,PANC0327,TANESPIMYCIN,"17-AAG, BMS-722782"
"277",1026,1298476,-1.65701181,1,PANC0403,TANESPIMYCIN,"17-AAG, BMS-722782"
"278",1026,925348,-0.73535823,1,PANC1005,TANESPIMYCIN,"17-AAG, BMS-722782"
"279",1026,1298526,1.15776018,1,PATU8902,TANESPIMYCIN,"17-AAG, BMS-722782"
"280",1026,753608,-3.12312492,1,PC14,TANESPIMYCIN,"17-AAG, BMS-722782"
"281",1026,905934,-2.34272472,1,PC3,TANESPIMYCIN,"17-AAG, BMS-722782"
"282",1026,910546,-3.01914125,1,PSN1,TANESPIMYCIN,"17-AAG, BMS-722782"
