"",Cell_Line,Compound,Doses,IC50
"152",KNS62,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.576808989
"153",KO52,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.652886987
"154",KP1N,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.20516336
"155",KP2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.038178917
"156",KP3,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.166749611
"157",KP4,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.056765284
"158",KU812,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.129609898
"159",KURAMOCHI,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.332910785
"160",KYM1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.088494658
"161",KYSE140,17AAG,".025,.080,.25,.80,2.53,8",0.961978316
"162",KYSE150,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.080904983
"163",KYSE180,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.075374797
"164",KYSE30,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.811484754
"165",KYSE410,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.269242465
"166",KYSE450,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.71019572
"167",KYSE510,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.175444975
"168",KYSE520,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.079899609
"169",KYSE70,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.060356256
"170",L363,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.023713689
"171",L428,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.254022121
"172",LCLC103H,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",3.666449308
"173",LN18,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.060397994
"174",LN229,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.061167378
"175",LOUNH91,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"176",LOXIMVI,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.18541798
"177",LP1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.610796988
"178",LS123,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.349257827
"179",LS411N,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.081793495
"180",LS513,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.029090017
"181",MALME3M,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.090723187
"182",MC116,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.741352916
"183",MCAS,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.072973058
"184",MCF7,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.01876104
"185",MDAMB157,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"186",MDAMB175VII,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.032827336
"187",MDAMB415,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.018407384
"188",MDAMB436,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"189",MDAMB453,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.015530476
"190",MDAMB468,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.367030263
"191",MEG01,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",1.050176263
"192",MELHO,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"193",MESSA,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.037811786
"194",MEWO,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"195",MFE280,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.207526833
"196",MFE296,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.328074843
"197",MFE319,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.079697538
"198",MG63,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.814632237
"199",MHHES1,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.146468312
"200",MIAPACA2,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.020956876
"201",MKN45,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.017859768
"202",MKN7,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.996641457
"203",MOGGCCM,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.271819055
"204",MOLP8,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.323331714
"205",MOLT16,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.447354048
"206",MPP89,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.200979024
"207",MSTO211H,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.190373659
"208",NCIH1048,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.048622094
"209",NCIH1092,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"210",NCIH1155,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.117387019
"211",NCIH1299,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.267252147
"212",NCIH1341,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.01379581
"213",NCIH1355,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.104488812
"214",NCIH1563,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.215863928
"215",NCIH1568,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"216",NCIH1573,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.128462195
"217",NCIH1581,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.605425537
"218",NCIH1648,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"219",NCIH1650,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.030661542
"220",NCIH1651,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.243237942
"221",NCIH1666,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.016954798
"222",NCIH1693,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"223",NCIH1694,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",3.349775107
"224",NCIH1703,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.039121125
"225",NCIH1792,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.103014566
"226",NCIH1793,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.238597125
"227",NCIH1869,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.100020558
"228",NCIH1915,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.035393722
"229",NCIH1944,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.026266662
"230",NCIH1975,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.055695072
"231",NCIH2009,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.188103288
"232",NCIH2023,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.023395276
"233",NCIH2030,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.04906629
"234",NCIH2052,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.238069907
"235",NCIH2085,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.761869073
"236",NCIH2087,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.064093605
"237",NCIH211,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.125717342
"238",NCIH2122,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.026409486
"239",NCIH2170,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.015281511
"240",NCIH2172,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.005899465
"241",NCIH2228,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.113416389
"242",NCIH226,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"243",NCIH23,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.046550732
"244",NCIH2444,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.268049806
"245",NCIH2452,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.147931322
"246",NCIH28,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.148407042
"247",NCIH358,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.07596647
"248",NCIH441,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.170633957
"249",NCIH460,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.0637509
"250",NCIH520,17AAG,".0025,.0080,.025,.080,.25,.80,2.53,8",0.09997908
