"",Cell_Line,Compound,Doses,IC50
"2712",EFO21,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2713",EFO27,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2714",EM2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2715",EN,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2716",ES2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2717",ESS1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2718",FADU,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2719",FU97,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2720",FUOV1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2721",G361,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2722",G401,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",5.311493397
"2723",G402,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2724",GAMG,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2725",GB1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2726",GCIY,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2727",GCT,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2728",GI1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2729",GMS10,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2730",GRANTA519,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2731",H4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2732",HARA,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2733",HCC1187,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2734",HCC1395,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2735",HCC15,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2736",HCC1569,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2737",HCC1806,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2738",HCC1954,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2739",HCC44,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2740",HCC56,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2741",HCC70,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2742",HCC78,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2743",HCC827,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2744",HCT116,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2745",HCT15,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2746",HDMYZ,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2747",HDQP1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2748",HGC27,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2749",HH,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2750",HLE,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2751",HOS,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2752",HPAC,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2753",HPAFII,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2754",HS578T,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2755",HS683,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2756",HS746T,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2757",HS766T,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2758",HS939T,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2759",HSC2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2760",HT,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2761",HT1080,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",6.066975117
"2762",HT1197,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2763",HT1376,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2764",HT144,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2765",HT29,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2766",HUCCT1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2767",HUH1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2768",HUPT3,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2769",HUPT4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2770",IALM,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2771",IGR37,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2772",IGROV1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2773",IM95,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2774",IPC298,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2775",ISTMES1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2776",J82,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2777",JHH2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2778",JHH4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2779",JHH6,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2780",JHH7,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2781",JHOS2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2782",JHOS4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2783",JM1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2784",JURKAT,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2785",JVM3,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",0.271995178
"2786",KALS1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2787",KARPAS299,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2788",KARPAS422,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2789",KARPAS620,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2790",KCL22,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2791",KELLY,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2792",KG1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2793",KLE,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2794",KMRC1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2795",KMS11,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2796",KMS12BM,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2797",KNS42,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2798",KNS62,NUTLIN3,".0080,.025,.080,.25,.80,2.53,8",8
"2799",KO52,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2800",KP1N,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2801",KP2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2802",KP3,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2803",KP4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2804",KU812,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2805",KURAMOCHI,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2806",KYM1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2807",KYSE140,NUTLIN3,".025,.080,.25,.80,2.53,8",8
"2808",KYSE150,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2809",KYSE180,NUTLIN3,".0080,.025,.080,.25,.80,2.53,8",8
"2810",KYSE30,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2811",KYSE410,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2812",KYSE450,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2813",KYSE510,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2814",KYSE520,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2815",KYSE70,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2816",L363,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2817",L428,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2818",LCLC103H,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2819",LN18,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2820",LN229,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2821",LOUNH91,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2822",LOXIMVI,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2823",LP1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2824",LS123,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2825",LS411N,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2826",LS513,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2827",MALME3M,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2828",MC116,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2829",MCAS,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2830",MCF7,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2831",MDAMB157,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2832",MDAMB175VII,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2833",MDAMB415,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2834",MDAMB436,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2835",MDAMB453,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2836",MDAMB468,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2837",MEG01,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2838",MELHO,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2839",MESSA,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2840",MEWO,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2841",MFE280,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2842",MFE296,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2843",MFE319,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2844",MG63,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2845",MHHES1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2846",MIAPACA2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2847",MKN45,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",7.562559605
"2848",MKN7,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2849",MOGGCCM,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2850",MOLP8,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",4.624371052
"2851",MOLT16,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",3.664028168
"2852",MPP89,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2853",MSTO211H,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",3.372504234
"2854",NCIH1048,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2855",NCIH1092,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2856",NCIH1155,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2857",NCIH1299,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2858",NCIH1341,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2859",NCIH1355,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2860",NCIH1563,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2861",NCIH1568,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2862",NCIH1573,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2863",NCIH1581,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2864",NCIH1648,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2865",NCIH1650,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2866",NCIH1651,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2867",NCIH1666,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2868",NCIH1693,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2869",NCIH1694,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2870",NCIH1703,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2871",NCIH1792,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2872",NCIH1793,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2873",NCIH1869,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2874",NCIH1915,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2875",NCIH1944,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2876",NCIH1975,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2877",NCIH2009,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2878",NCIH2023,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2879",NCIH2030,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2880",NCIH2052,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2881",NCIH2085,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2882",NCIH2087,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2883",NCIH211,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2884",NCIH2122,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",4.599129598
"2885",NCIH2170,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2886",NCIH2172,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2887",NCIH2228,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2888",NCIH226,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2889",NCIH23,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2890",NCIH2444,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2891",NCIH2452,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2892",NCIH28,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2893",NCIH358,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2894",NCIH441,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2895",NCIH460,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2896",NCIH520,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2897",NCIH522,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2898",NCIH647,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2899",NCIH650,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2900",NCIH661,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2901",NCIH727,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2902",NCIH747,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2903",NCIH810,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2904",NCIN87,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2905",NUGC3,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2906",NUGC4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2907",OC314,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2908",OCIAML2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",6.549625874
"2909",OCIAML5,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",3.416829586
"2910",OCUM1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2911",OE21,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2912",OE33,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2913",ONS76,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2914",OPM2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2915",OV90,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2916",OVCAR4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2917",OVCAR8,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2918",OVTOKO,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2919",P12ICHIKAWA,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2920",P31FUJ,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2921",PANC0203,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2922",PANC0327,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2923",PANC0403,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2924",PANC1005,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2925",PATU8902,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2926",PC14,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2927",PC3,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2928",PSN1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2929",QGP1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2930",RAJI,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2931",RD,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2932",REH,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",7.587461948
"2933",RERFGC1B,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2934",RERFLCMS,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2935",RKN,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",6.606217317
"2936",RKO,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2937",RL952,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2938",RPMI7951,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2939",RPMI8402,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2940",RT112,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2941",RT4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2942",RVH421,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2943",SAOS2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2944",SBC5,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2945",SCABER,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2946",SCC25,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2947",SCC9,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2948",SF126,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2949",SF295,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2950",SHP77,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2951",SIGM5,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",1.450723886
"2952",SIMA,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2953",SJRH30,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2954",SJSA1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",6.456521988
"2955",SKCO1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2956",SKES1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2957",SKHEP1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2958",SKLMS1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2959",SKLU1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2960",SKMEL2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2961",SKMEL24,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2962",SKMEL30,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2963",SKMEL31,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2964",SKMEL5,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2965",SKMES1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2966",SKMM2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2967",SKNAS,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2968",SKNDZ,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2969",SKNFI,NUTLIN3,".0025,.025,.080,.25,.80,2.53,8",8
"2970",SKNSH,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",7.611627579
"2971",SKOV3,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2972",SNGM,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2973",SNU182,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2974",SNU387,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2975",SNU398,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2976",SNU423,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2977",SNU449,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2978",SNU475,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2979",SU8686,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2980",SUDHL10,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2981",SUDHL4,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2982",SUDHL6,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2983",SUDHL8,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2984",SUIT2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2985",SUPM2,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2986",SUPT1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2987",SW1088,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2988",SW1271,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2989",SW1417,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2990",SW1573,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2991",SW1990,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2992",SW403,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2993",SW48,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2994",SW620,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2995",SW780,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2996",SW900,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2997",T24,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2998",T47D,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"2999",T84,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3000",T98G,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3001",TC71,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3002",TCCSUP,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3003",TE1,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3004",TE11,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",0.006018947
"3005",TE15,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3006",TE5,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3007",TE9,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3008",TOV112D,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3009",TOV21G,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3010",TT2609C02,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3011",TYKNU,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3012",U118MG,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3013",U2OS,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3014",U87MG,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3015",UACC257,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3016",UACC62,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
"3017",UACC812,NUTLIN3,".0025,.0080,.025,.080,.25,.80,2.53,8",8
